@relation DB

@attribute dim0 {1,2}
@attribute dim1 {3,4}
@attribute class {"0"}

@data
2,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
2,3,"0"
2,3,"0"
2,4,"0"
1,4,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,4,"0"
2,3,"0"
2,4,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,3,"0"
1,4,"0"
1,4,"0"
1,3,"0"
1,4,"0"
2,4,"0"
2,4,"0"
1,3,"0"
1,3,"0"
1,4,"0"
1,3,"0"
1,3,"0"
1,3,"0"
1,4,"0"
1,4,"0"
2,4,"0"
2,4,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,4,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,4,"0"
2,4,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,4,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,4,"0"
2,4,"0"
2,4,"0"
2,3,"0"
2,4,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,4,"0"
2,4,"0"
2,4,"0"
2,3,"0"
2,4,"0"
2,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,4,"0"
2,4,"0"
2,3,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
2,3,"0"
2,3,"0"
2,3,"0"
1,3,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
2,3,"0"
2,3,"0"
2,3,"0"
1,4,"0"
1,4,"0"
1,4,"0"
2,3,"0"
2,4,"0"
2,3,"0"
2,4,"0"
2,4,"0"
2,4,"0"
2,4,"0"
2,4,"0"
2,4,"0"
2,4,"0"
1,4,"0"
2,4,"0"
2,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,3,"0"
2,4,"0"
2,4,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,4,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,4,"0"
2,4,"0"
2,4,"0"
2,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
2,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
1,4,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,3,"0"
2,4,"0"
2,4,"0"
2,4,"0"
2,4,"0"
2,4,"0"
